normal,scenario5_highway,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_highway_re,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_city,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_city_re,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_homearea,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_homearea_re,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_highway,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_highway_re,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_city,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_city_re,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_homearea,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,normal,scenario5_homearea_re,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,
load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,
load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,
1,1226500,155000,15000,9.22497,0.0840343,9.30901,,1,764750,1250,630000,0.0746357,2.80409,2.87873,,1,1230000,155000,15000,9.25483,0.0663429,9.32117,,1,769750,1250,630000,0.0746357,2.78198,2.85661,,1,1230250,155000,15000,9.2399,0.0663429,9.30624,,1,767250,1250,630000,0.0746357,2.79303,2.86767,,1,1230000,155000,15000,9.25483,0.0663429,9.32117,,1,765750,1250,630000,0.0746357,2.79967,2.8743,,1,1230000,155000,15000,9.25483,0.0663429,9.32117,,1,770750,1250,630000,0.0746357,2.77755,2.85219,,1,1230500,155000,15000,9.22497,0.0663429,9.29132,,1,768375,1250,630000,0.216444,2.77755,2.994,,
0.95,1217366,163158,15791,9.22498,0.0840406,9.30902,,0.95,731314,1316,663159,0.0746477,2.8041,2.87874,,0.95,1221051,163158,15791,9.25483,0.0663493,9.32118,,0.95,736577,1316,663159,0.0746477,2.78198,2.85663,,0.95,1221314,163158,15791,9.23991,0.0663493,9.30626,,0.95,733946,1316,663159,0.0746477,2.79304,2.86769,,0.95,1221051,163158,15791,9.25483,0.0663493,9.32118,,0.95,732367,1316,663159,0.0746477,2.79967,2.87432,,0.95,1221051,163158,15791,9.25483,0.0663493,9.32118,,0.95,737630,1316,663159,0.0746477,2.77756,2.85221,,0.95,1221577,163158,15791,9.22498,0.0663493,9.29133,,0.95,735130,1316,663159,0.216456,2.77756,2.99401,,
0.9,1207220,172223,16668,9.22501,0.0840394,9.30905,,0.9,694165,1389,700001,0.0746417,2.8041,2.87874,,0.9,1211109,172223,16668,9.25487,0.0663482,9.32122,,0.9,699721,1389,700001,0.0746417,2.78198,2.85662,,0.9,1211386,172223,16668,9.23994,0.0663482,9.30629,,0.9,696943,1389,700001,0.0746417,2.79304,2.86768,,0.9,1211109,172223,16668,9.25487,0.0663482,9.32122,,0.9,695276,1389,700001,0.0746417,2.79967,2.87431,,0.9,1211109,172223,16668,9.25487,0.0663482,9.32122,,0.9,700832,1389,700001,0.0746417,2.77756,2.8522,,0.9,1211664,172223,16668,9.22501,0.0663482,9.29136,,0.9,698193,1389,700001,0.21645,2.77756,2.99401,,
0.85,1195881,182353,17648,9.22498,0.0840379,9.30902,,0.85,652646,1471,741177,0.0746566,2.80409,2.87875,,0.85,1199999,182353,17648,9.25483,0.0663464,9.32118,,0.85,658528,1471,741177,0.0746566,2.78198,2.85664,,0.85,1200293,182353,17648,9.23991,0.0663464,9.30625,,0.85,655587,1471,741177,0.0746566,2.79304,2.86769,,0.85,1199999,182353,17648,9.25483,0.0663464,9.32118,,0.85,653822,1471,741177,0.0746566,2.79967,2.87433,,0.85,1199999,182353,17648,9.25483,0.0663464,9.32118,,0.85,659704,1471,741177,0.0746566,2.77756,2.85221,,0.85,1200587,182353,17648,9.22498,0.0663464,9.29133,,0.85,656910,1471,741177,0.216464,2.77756,2.99402,,
0.8,1183123,193751,18751,9.22502,0.0840375,9.30905,,0.8,605936,1563,787501,0.0746596,2.80409,2.87875,,0.8,1187498,193751,18751,9.25488,0.0663464,9.32122,,0.8,612185,1563,787501,0.0746596,2.78198,2.85664,,0.8,1187810,193751,18751,9.23994,0.0663464,9.30629,,0.8,609061,1563,787501,0.0746596,2.79304,2.8677,,0.8,1187498,193751,18751,9.25488,0.0663464,9.32122,,0.8,607186,1563,787501,0.0746596,2.79967,2.87433,,0.8,1187498,193751,18751,9.25488,0.0663464,9.32122,,0.8,613435,1563,787501,0.0746596,2.77756,2.85222,,0.8,1188123,193751,18751,9.22502,0.0663464,9.29136,,0.8,610467,1563,787501,0.21647,2.77756,2.99403,,
0.75,1168665,206667,20001,9.22499,0.0840375,9.30903,,0.75,552998,1667,840001,0.0746506,2.80409,2.87875,,0.75,1173332,206667,20001,9.25484,0.0663462,9.32119,,0.75,559665,1667,840001,0.0746506,2.78198,2.85663,,0.75,1173665,206667,20001,9.23992,0.0663462,9.30626,,0.75,556332,1667,840001,0.0746506,2.79304,2.86769,,0.75,1173332,206667,20001,9.25484,0.0663462,9.32119,,0.75,554332,1667,840001,0.0746506,2.79967,2.87432,,0.75,1173332,206667,20001,9.25484,0.0663462,9.32119,,0.75,560998,1667,840001,0.0746506,2.77756,2.85221,,0.75,1173998,206667,20001,9.22499,0.0663462,9.29134,,0.75,557831,1667,840001,0.21646,2.77756,2.99402,,
0.7,1152142,221429,21429,9.22499,0.0840357,9.30903,,0.7,492498,1786,900001,0.0746477,2.80409,2.87874,,0.7,1157142,221429,21429,9.25485,0.0663442,9.32119,,0.7,499641,1786,900001,0.0746477,2.78198,2.85663,,0.7,1157499,221429,21429,9.23992,0.0663442,9.30627,,0.7,496070,1786,900001,0.0746477,2.79304,2.86769,,0.7,1157142,221429,21429,9.25485,0.0663442,9.32119,,0.7,493927,1786,900001,0.0746477,2.79967,2.87432,,0.7,1157142,221429,21429,9.25485,0.0663442,9.32119,,0.7,501070,1786,900001,0.0746477,2.77756,2.8522,,0.7,1157856,221429,21429,9.22499,0.0663442,9.29134,,0.7,497677,1786,900001,0.216457,2.77756,2.99401,,
0.65,1133075,238462,23078,9.22499,0.0840375,9.30903,,0.65,422690,1924,969232,0.0746715,2.8041,2.87877,,0.65,1138460,238462,23078,9.25485,0.066346,9.32119,,0.65,430382,1924,969232,0.0746715,2.78198,2.85665,,0.65,1138844,238462,23078,9.23992,0.066346,9.30627,,0.65,426536,1924,969232,0.0746715,2.79304,2.86771,,0.65,1138460,238462,23078,9.25485,0.066346,9.32119,,0.65,424228,1924,969232,0.0746715,2.79967,2.87434,,0.65,1138460,238462,23078,9.25485,0.066346,9.32119,,0.65,431921,1924,969232,0.0746715,2.77756,2.85223,,0.65,1139229,238462,23078,9.22499,0.066346,9.29134,,0.65,428267,1924,969232,0.216478,2.77756,2.99404,,
0.6,1110831,258334,25001,9.225,0.084037,9.30903,,0.6,341248,2084,1050001,0.0746596,2.80409,2.87875,,0.6,1116665,258334,25001,9.25485,0.0663455,9.3212,,0.6,349581,2084,1050001,0.0746596,2.78198,2.85664,,0.6,1117081,258334,25001,9.23992,0.0663455,9.30627,,0.6,345415,2084,1050001,0.0746596,2.79304,2.8677,,0.6,1116665,258334,25001,9.25485,0.0663455,9.3212,,0.6,342915,2084,1050001,0.0746596,2.79967,2.87433,,0.6,1116665,258334,25001,9.25485,0.0663455,9.3212,,0.6,351248,2084,1050001,0.0746596,2.77756,2.85222,,0.6,1117498,258334,25001,9.225,0.0663455,9.29134,,0.6,347290,2084,1050001,0.216466,2.77756,2.99402,,
0.55,1084544,281819,27273,9.225,0.0840351,9.30904,,0.55,244719,2273,1145455,0.0746447,2.80477,2.87942,,0.55,1090908,281819,27273,9.25486,0.0663435,9.3212,,0.55,254090,2273,1145455,0.0746447,2.78198,2.85662,,0.55,1091362,281819,27273,9.23993,0.0663435,9.30627,,0.55,249544,2273,1145455,0.0746447,2.79304,2.86768,,0.55,1090908,281819,27273,9.25486,0.0663435,9.3212,,0.55,246817,2273,1145455,0.0746447,2.79967,2.87431,,0.55,1090908,281819,27273,9.25486,0.0663435,9.3212,,0.55,255908,2273,1145455,0.0746447,2.77756,2.8522,,0.55,1091817,281819,27273,9.225,0.0663435,9.29134,,0.55,251590,2273,1145455,0.216453,2.77756,2.99401,,
0.5,1052997,310001,30002,9.225,0.0840387,9.30904,,0.5,145297,2501,1262802,0.259765,2.75544,3.01521,,0.5,1059997,310001,30002,9.25486,0.0663473,9.32121,,0.5,136697,2501,1262802,0.0746656,2.78817,2.86284,,0.5,1060497,310001,30002,9.23993,0.0663473,9.30628,,0.5,140997,2501,1262802,0.167217,2.77181,2.93903,,0.5,1059997,310001,30002,9.25486,0.0663473,9.32121,,0.5,131497,2501,1260002,0.0746656,2.79967,2.87434,,0.5,1059997,310001,30002,9.25486,0.0663473,9.32121,,0.5,141497,2501,1260002,0.0746656,2.77756,2.85222,,0.5,1060997,310001,30002,9.225,0.0663473,9.29135,,0.5,136747,2501,1260002,0.216473,2.77756,2.99403,,
0.45,1014442,344445,33335,9.22499,0.0840376,9.30903,,0.45,202531,71667,1127246,2.01816,2.23381,4.25197,,0.45,1022220,344445,33335,9.25484,0.0663462,9.32119,,0.45,202975,71667,1127246,1.92263,2.24,4.16263,,0.45,1022775,344445,33335,9.23992,0.0663462,9.30626,,0.45,197753,71667,1127246,1.92561,2.25018,4.17579,,0.45,1022220,344445,33335,9.25484,0.0663462,9.32119,,0.45,27853,13112,1361468,0.433806,2.69883,3.13264,,0.45,1022220,344445,33335,9.25484,0.0663462,9.32119,,0.45,27044,13112,1361468,0.324538,2.70853,3.03307,,0.45,1023331,344445,33335,9.22499,0.0663462,9.29134,,0.45,29000,13112,1361468,0.53113,2.68934,3.22047,,
0.4,966247,387501,37502,9.225,0.0840376,9.30904,,0.4,181074,119375,1112801,3.03618,1.93155,4.96773,,0.4,974997,387501,37502,9.25485,0.0663464,9.3212,,0.4,169761,119375,1112801,2.84661,1.96561,4.81221,,0.4,975622,387501,37502,9.23993,0.0663464,9.30627,,0.4,175699,119375,1112801,2.94363,1.94792,4.89155,,0.4,974997,387501,37502,9.25485,0.0663464,9.3212,,0.4,65599,84500,1252301,2.09697,2.20542,4.30238,,0.4,974997,387501,37502,9.25485,0.0663464,9.3212,,0.4,61786,84500,1252301,1.9671,2.22178,4.18888,,0.4,976247,387501,37502,9.225,0.0663464,9.29134,,0.4,62824,84500,1252301,2.16444,2.20533,4.36976,,
0.35,905355,442858,42858,9.23246,0.0818242,9.31428,,0.35,259769,225001,917087,4.79462,1.40992,6.20454,,0.35,914284,442858,42858,9.25485,0.0663442,9.32119,,0.35,259697,225001,917087,4.69461,1.41744,6.11205,,0.35,914998,442858,42858,9.23992,0.0663442,9.30626,,0.35,253626,225001,917087,4.70207,1.42628,6.12836,,0.35,914284,442858,42858,9.25485,0.0663442,9.32119,,0.35,74333,163001,1165087,3.48297,1.79413,5.27711,,0.35,914284,442858,42858,9.25485,0.0663442,9.32119,,0.35,72226,163001,1165087,3.36878,1.80585,5.17463,,0.35,915712,442858,42858,9.22499,0.0663442,9.29134,,0.35,73412,163001,1165087,3.56611,1.7894,5.35552,,
0.3,834165,520834,33334,9.29962,0.0619208,9.36154,,0.3,225198,314167,862801,5.72009,1.13508,6.85517,,0.3,845832,520834,33334,9.32948,0.0442295,9.37371,,0.3,224865,314167,862801,5.61858,1.14304,6.76163,,0.3,846665,520834,33334,9.31455,0.0442295,9.35878,,0.3,218032,314167,862801,5.62754,1.15145,6.77899,,0.3,833332,516667,50001,9.25483,0.0663442,9.32118,,0.3,68981,262501,1069468,4.76745,1.41293,6.18038,,0.3,833332,516667,50001,9.25483,0.0663442,9.32118,,0.3,67697,262501,1069468,4.66027,1.42257,6.08284,,0.3,834998,516667,50001,9.22498,0.0663442,9.29132,,0.3,67531,262501,1069468,4.84835,1.40886,6.25721,,
0.25,762997,635003,0,9.50863,0,9.50863,,0.25,158197,439002,786801,6.55305,0.887669,7.44071,,0.25,764997,635003,0,9.47878,0,9.47878,,0.25,157797,439002,786801,6.45154,0.89563,7.34717,,0.25,765997,635003,0,9.46385,0,9.46385,,0.25,168197,439002,786801,6.55305,0.876611,7.42966,,0.25,749997,630002,20001,9.40413,0.0221154,9.42625,,0.25,7607,383202,1010001,5.78385,1.11116,6.89501,,0.25,749997,630002,20001,9.40413,0.0221154,9.42625,,0.25,7537,383202,1010001,5.68399,1.11863,6.80262,,0.25,748997,630002,20001,9.35935,0.0265384,9.38589,,0.25,7337,383202,1010001,5.87207,1.10492,6.97699,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc,scenario5_highway,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,hc,scenario5_highway_re,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,hc,scenario5_city,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,hc,scenario5_city_re,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,hc,scenario5_homearea,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,hc,scenario5_homearea_re,CHECK_POINT = 10,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,hc,scenario5_highway,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,hc,scenario5_highway_re,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,hc,scenario5_city,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,hc,scenario5_city_re,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,hc,scenario5_homearea,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,hc,scenario5_homearea_re,CHECK_POINT = 100,DEAD_LINE = 1400000,ALL TASK SIZE =1400000,first check = 1,,,
load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,load,deadline_rest,time_high,time_low,Wh_h,Wh_l,Wh_sum,,
load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,load,Previous,Previous,Previous,Previous,Previous,Previous,,load,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,,
1,1400000,153750,0,9.46381,0,9.46381,,1,1400000,158750,0,9.47874,0,9.47874,,1,1400000,158750,0,9.43395,0,9.43395,,1,1400000,158750,0,9.46381,0,9.46381,,1,1400000,158750,0,9.54591,0,9.54591,,1,1400000,158750,0,9.44888,0,9.44888,,1,1400000,158750,0,9.7325,0,9.7325,,1,1400000,158750,0,9.59815,0,9.59815,,1,1400000,158750,0,9.46381,0,9.46381,,1,1400000,158750,0,9.44888,0,9.44888,,1,1400000,158750,0,9.50113,0,9.50113,,1,1400000,158750,0,9.62054,0,9.62054,,
0.95,1400000,161843,0,9.46385,0,9.46385,,0.95,1400000,167106,0,9.47878,0,9.47878,,0.95,1400000,167106,0,9.434,0,9.434,,0.95,1400000,167106,0,9.46385,0,9.46385,,0.95,1400000,167106,0,9.54595,0,9.54595,,0.95,1400000,167106,0,9.44893,0,9.44893,,0.95,1400000,167106,0,9.73254,0,9.73254,,0.95,1400000,167106,0,9.59819,0,9.59819,,0.95,1400000,167106,0,9.46385,0,9.46385,,0.95,1400000,167106,0,9.44892,0,9.44892,,0.95,1400000,167106,0,9.50117,0,9.50117,,0.95,1400000,167106,0,9.62059,0,9.62059,,
0.9,1400000,170834,0,9.46386,0,9.46386,,0.9,1400000,176390,0,9.4788,0,9.4788,,0.9,1400000,176390,0,9.43401,0,9.43401,,0.9,1400000,176390,0,9.46387,0,9.46387,,0.9,1400000,176390,0,9.54596,0,9.54596,,0.9,1400000,176390,0,9.44894,0,9.44894,,0.9,1400000,176390,0,9.73256,0,9.73256,,0.9,1400000,176390,0,9.59821,0,9.59821,,0.9,1400000,176390,0,9.46387,0,9.46387,,0.9,1400000,176390,0,9.44894,0,9.44894,,0.9,1400000,176390,0,9.50119,0,9.50119,,0.9,1400000,176390,0,9.6206,0,9.6206,,
0.85,1400000,180884,0,9.46388,0,9.46388,,0.85,1400000,186766,0,9.4788,0,9.4788,,0.85,1400000,186766,0,9.43402,0,9.43402,,0.85,1400000,186766,0,9.46388,0,9.46388,,0.85,1400000,186766,0,9.54598,0,9.54598,,0.85,1400000,186766,0,9.44895,0,9.44895,,0.85,1400000,186766,0,9.73256,0,9.73256,,0.85,1400000,186766,0,9.59821,0,9.59821,,0.85,1400000,186766,0,9.46388,0,9.46388,,0.85,1400000,186766,0,9.44895,0,9.44895,,0.85,1400000,186766,0,9.50119,0,9.50119,,0.85,1400000,186766,0,9.62061,0,9.62061,,
0.8,1400000,192188,0,9.46387,0,9.46387,,0.8,1400000,198439,0,9.47881,0,9.47881,,0.8,1400000,198439,0,9.43402,0,9.43402,,0.8,1400000,198439,0,9.46388,0,9.46388,,0.8,1400000,198439,0,9.54597,0,9.54597,,0.8,1400000,198439,0,9.44894,0,9.44894,,0.8,1400000,198439,0,9.73257,0,9.73257,,0.8,1400000,198439,0,9.59823,0,9.59823,,0.8,1400000,198439,0,9.46388,0,9.46388,,0.8,1400000,198439,0,9.44895,0,9.44895,,0.8,1400000,198439,0,9.5012,0,9.5012,,0.8,1400000,198439,0,9.62062,0,9.62062,,
